"","NSub","model","exp","cond","DurID","Prob","Dur"
"344",14,"Bisection Model","exp2","DF","DurProb5","0.961506824544483","1200"
"345",15,"Bisection Model","exp2","DF","DurProb5","0.877520591513853","1200"
"346",1,"Bisection Model","exp2","AF","DurProb5","0.980198893186087","1200"
"347",2,"Bisection Model","exp2","AF","DurProb5","0.966509104520188","1200"
"348",3,"Bisection Model","exp2","AF","DurProb5","0.983971375845356","1200"
"349",4,"Bisection Model","exp2","AF","DurProb5","0.908447834289925","1200"
"350",5,"Bisection Model","exp2","AF","DurProb5","0.875553126681333","1200"
"351",6,"Bisection Model","exp2","AF","DurProb5","0.312337563539999","1200"
"352",7,"Bisection Model","exp2","AF","DurProb5","0.905221378655425","1200"
"353",8,"Bisection Model","exp2","AF","DurProb5","0.995325852366904","1200"
"354",9,"Bisection Model","exp2","AF","DurProb5","0.990343254083668","1200"
"355",10,"Bisection Model","exp2","AF","DurProb5","0.737727835401103","1200"
"356",11,"Bisection Model","exp2","AF","DurProb5","0.860165975511905","1200"
"357",12,"Bisection Model","exp2","AF","DurProb5","0.951576165373876","1200"
"358",13,"Bisection Model","exp2","AF","DurProb5","0.711379452528087","1200"
"359",14,"Bisection Model","exp2","AF","DurProb5","0.961506824544483","1200"
"360",15,"Bisection Model","exp2","AF","DurProb5","0.877520591513853","1200"
"361",1,"Bisection Model","exp2","DF","DurProb6","0.997624771458951","1400"
"362",2,"Bisection Model","exp2","DF","DurProb6","0.992590824719404","1400"
"363",3,"Bisection Model","exp2","DF","DurProb6","0.998250186470631","1400"
"364",4,"Bisection Model","exp2","DF","DurProb6","0.983227406009727","1400"
"365",5,"Bisection Model","exp2","DF","DurProb6","0.982936515771594","1400"
"366",6,"Bisection Model","exp2","DF","DurProb6","0.60226301525217","1400"
"367",7,"Bisection Model","exp2","DF","DurProb6","0.979114668973119","1400"
